id,Film,genre1,genre2,Year
1,Zack and Miri Make a Porno,Romance,The Weinstein Company,2008
2,Youth in Revolt,Comedy,The Weinstein Company,2010
3,You Will Meet a Tall Dark Stranger,Comedy,Independent,2010
4,When in Rome,Comedy,Disney,2010
5,What Happens in Vegas,Comedy,Fox,2008
6,Water For Elephants,Drama,20th Century Fox,2011
7,WALL-E,Animation,Disney,2008
8,Waitress,Romance,Independent,2007
9,Waiting For Forever,Romance,Independent,2011
10,Valentine's Day,Comedy,Warner Bros.,2010
11,Tyler Perry's Why Did I get Married,Romance,Independent,2007
12,Twilight: Breaking Dawn,Romance,Independent,2011
13,Twilight,Romance,Summit,2008
14,The Ugly Truth,Comedy,Independent,2009
15,The Twilight Saga: New Moon,Drama,Summit,2009
16,The Time Traveler's Wife,Drama,Paramount,2009
17,The Proposal,Comedy,Disney,2009
18,The Invention of Lying,Comedy,Warner Bros.,2009
19,The Heartbreak Kid,Comedy,Paramount,2007
20,The Duchess,Drama,Paramount,2008
21,The Curious Case of Benjamin Button,Fantasy,Warner Bros.,2008
22,The Back-up Plan,Comedy,CBS,2010
23,Tangled,Animation,Disney,2010
24,Something Borrowed,Romance,Independent,2011
25,She's Out of My League,Comedy,Paramount,2010
26,Sex and the City Two,Comedy,Warner Bros.,2010
27,Sex and the City 2,Comedy,Warner Bros.,2010
28,Sex and the City,Comedy,Warner Bros.,2008
29,Remember Me,Drama,Summit,2010
30,Rachel Getting Married,Drama,Independent,2008
31,Penelope,Comedy,Summit,2008
32,P.S. I Love You,Romance,Independent,2007
33,Over Her Dead Body,Comedy,New Line,2008
34,Our Family Wedding,Comedy,Independent,2010
35,One Day,Romance,Independent,2011
36,Not Easily Broken,Drama,Independent,2009
37,No Reservations,Comedy,Warner Bros.,2007
38,Nick and Norah's Infinite Playlist,Comedy,Sony,2008
39,New Year's Eve,Romance,Warner Bros.,2011
40,My Week with Marilyn,Drama,The Weinstein Company,2011
41,Music and Lyrics,Romance,Warner Bros.,2007
42,Monte Carlo,Romance,20th Century Fox,2011
43,Miss Pettigrew Lives for a Day,Comedy,Independent,2008
44,Midnight in Paris,Romence,Sony,2011
45,Marley and Me,Comedy,Fox,2008
46,Mamma Mia!,Comedy,Universal,2008
47,Mamma Mia!,Comedy,Universal,2008
48,Made of Honor,Comdy,Sony,2008
49,Love Happens,Drama,Universal,2009
50,Love & Other Drugs,Comedy,Fox,2010
51,Life as We Know It,Comedy,Independent,2010
52,License to Wed,Comedy,Warner Bros.,2007
53,Letters to Juliet,Comedy,Summit,2010
54,Leap Year,Comedy,Universal,2010
55,Knocked Up,Comedy,Universal,2007
56,Killers,Action,Lionsgate,2010
57,Just Wright,Comedy,Fox,2010
58,Jane Eyre,Romance,Universal,2011
59,It's Complicated,Comedy,Universal,2009
60,I Love You Phillip Morris,Comedy,Independent,2010
61,High School Musical 3: Senior Year,Comedy,Disney,2008
62,He's Just Not That Into You,Comedy,Warner Bros.,2009
63,Good Luck Chuck,Comedy,Lionsgate,2007
64,Going the Distance,Comedy,Warner Bros.,2010
65,Gnomeo and Juliet,Animation,Disney,2011
66,Gnomeo and Juliet,Animation,Disney,2011
67,Ghosts of Girlfriends Past,Comedy,Warner Bros.,2009
68,Four Christmases,Comedy,Warner Bros.,2008
69,Fireproof,Drama,Independent,2008
70,Enchanted,Comedy,Disney,2007
71,Dear John,Drama,Sony,2010
72,Beginners,Comedy,Independent,2011
73,Across the Universe,romance,Independent,2007
74,A Serious Man,Drama,Universal,2009
75,A Dangerous Method,Drama,Independent,2011
76,27 Dresses,Comedy,Fox,2008
77,(500) Days of Summer,comedy,Fox,2009
